,Date,Date of Post,Seller Name,Details of Assessment,Post URL
0,2023-07-03,6 hrs,Ta Ya," ‼️ FOR SALE: ASAP!! ‼️  SMART BRO PREPAID HOME WIFI  (BRAND NEW, DAYS OLD PALANG)  ** NOT OPENLINE, FOR SMART SIM ONLY!  NO ISSUE YUNG MODEM, WITH ADAPTER!!   GET THIS FOR Php1000 (negotiable) MAY BAWAS PA SA SURE BUYER!! ✨  RFS: HINDI NA MAGAGAMIT  LOCATION: MAJAYJAY, LAGUNA   COMMENT HERE PARA MA-PM KITA. THANKS!! ‼️ FOR SALE: ASAP!! ‼️  SMART BRO PREPAID HOME WIFI  (BRAND NEW, DAYS OLD PALANG)  ** SIM CARD NOT INCLUDED!! NOT OPENLINE, FOR SMART SIM ONLY! ",https://www.facebook.com/groups/454613945527484/permalink/840548880267320/?__xts__%5B0%5D=12.AbonnDg8RoQoYXwCd5aXtuuog0Qp66sjNEmZmZy-V1f075MBRnVEkumEsshTQAm7LflnNWv8WhI1m7ZWIehmfvgOJYzQq2ntHlGAvG1gWphiiZ9JkNP4HbGVIjlVbgEnl992rrPzaGsiYpAtcCoX1vM-4NzerRo4vTfOYgHCW3PG4nUN03yZXYIjOTGOgG9Qm8vNS7tg7pDHcIZX2WNSL4NmDTPeDzKsFNi54zh66tN6F3md2GR8JxWtJudW_ONa-t5paPTF6vHNDh7TVCouPOr9Bf4KByaQ7mtKBW59jzqh_Hp794xjeriikq1UB6Vs27V3AupyTmteImCegslOXZPqzHRsxhbJjplZrgjzfqwW2SW109Q3CkG53PdQ0qAyp4g1--9YM7z6vdk0OSkVW-AwumULzurfUa0ywPbwuqpMaRwBh3KVO-fKnRRCJErrDGeoGQP466k76blST3fQ8l1SLEmUFh9RarxaemR2ASY_nnCEalPfQOG63kLfCpV2lwrIOF3TsrxEAHf3SeUNgwsmMKLJiU7N17m0dt3P-vfvWujNt-DxSxExF59n8fM8AbT2OIkPfZRorYgrBsBZKpvQoLGNEKFCGZ_RByfqHvoOiDJnYUkJ1AcHEu-_vVb9pHU&__tn__=%2AW&paipv=0&eav=AfZVXASsD4J2zHWsw7bN_jwXGTQoCij7EvycwdV7iwZfdBci_CRVhev2msbEE3B1NpA#footer_action_list
1,2023-07-02,Yesterday at 9:09 AM,AJ Attila, WIFI MODEM (GLOBE) FOR SALE ‼️‼️   400 pesos nalang.   Naka tambak lang kaya ibaligya  nalang.   Pm me. WIFI MODEM (GLOBE) FOR SALE ‼️‼️   400 pesos nalang.   Naka tambak lang kaya ibaligya  nalang.   Pm me. ,https://www.facebook.com/groups/386993399519283/permalink/840656234152995/?__xts__%5B0%5D=12.Abqd8BJgLgoncWTUe2fXSux4iCGwPAUDqMZp3j-Uu0iXZIzTtpQi10xJg3LSKvrZscpOmTNMNtTFlEzakmrArT64wex8l0IEV4FzxDsp8dDMkJhfG0fYWkaKF_CqmstVyjwruM9HhZ_92ULXUWFu0KtiKAiTHWikLyI0qHGAMYKU8w0Ms8FhCOXJUx45aify9o4UFHwQwYm5OUnNGQg144Uh2IrcKtwL-fPNxKuCG8v9Ev8BdMCM-4RtI1eMUulgbKKkMXIxwibgG-b0BuHIngHKCuuh2m-zpiZ1aYNTRwoZUjKH_3s4--5K0O12nTjM-aF6kG4YtEu2aAPRgnRkCoDq4D9qTsWMmDTEiarneFNAsuplyrOw7kWKW0iP2QIVx9-22wP06CbsRbg2Cu9bmJCu3lii0C70STOHYTq0RE5bUAxAbhy5b_vM22pL0D6afybl-4Eg2I3QeZuy0w3iHoklNxGbDMhYvk5cay2Iqd57ZHHL7OYXUkqwf2UZdflaIaRijdNcF8P5zPsYbjxWKbb5BzTVikzc6pB8uaKFLA0LZIbxxNviGSw-kT42YI2vh_cBIyl8wiwtdap_AX_mpMaYobDM0G5ybOKyJFOYzePqhXSzE7C8f8CjpfwToGUNrak&__tn__=%2AW&paipv=0&eav=AfbkmA_10aMjJ_c6SE_rQ50wO4rkcZ6HiqbY-3uYH28NXNa7t5lQJBlwtE5kmXm0i7s#footer_action_list
2,2023-07-03,22 hrs,Dons Canonigo, For Sale : Brandnew Globe Modem w/Gomo Sim Unli Data 1month🙂 Model : ZLT S10G latest version Price : 2500 free delivery  inside Tagum 🙂  Globe Modem w/50GB free load  Model : ZLT S10G latest version Price : 1550 free delivery  inside tagum ,https://www.facebook.com/groups/motddo/permalink/3016041461863065/?__xts__%5B0%5D=12.AbozhUmEXImeG2F8adlPvzWHEq0nDC6ocCJn98La_W_dfDtFd8Bu53kZb9cJfxPE12_EIstyfy0RhUJzGdDcWgiexOiauoU4K6hFS72xIaeepA_dv34DIRvsvD52Gsb6ZgMPyz4jnHoFLwM5kNUjNS2scLXMZBexjpt7OmUWNa5UBC87eWekUFydyotKnsMcj_HBBgW_2sFAV-OJOZ6IjMZXfqWdxMUadnlvPDNwiuU8q2h-yJlyqbACkJpaI9suLR8MinckmUyFT9vFoMj9NxMXJQG-2NudlHWa5_fmWZMgItQCQ9y4PTqqgvufpvlHozbMwSI88PFmH8HPMBw4ZUkx7fyPIr7TI-NmWO-4UfuhOGKmVvcNuj4jKlOTbQamuLqHwy-thK_BJ9Sg0TQCfZLj31_hw1ylZSe-eJO9nJSH1AqrSxz7M2bUWYf2x4Cg7DbiUEh9lgvWCSDFyCcjyFHQsHqxO5w8YViS82LYzI18eRRefDi7WfGav7XGl7BcuE052HTt79vBZozFR_LdET5GezT6qUnKuXIieJP8OHGo372tNz9KmnOecjHYDokUOVu_wGMtnbr9_Vb4ZayATcYVsbJ-s2eVNuqGCdVTCmtdLig7e3J4oKS0mjsaXt5oVp4&__tn__=%2AW&paipv=0&eav=AfbzhOdg2jXiclo8XayrKVREDetvWtSxkFNCasre-K9Is96_1Rfavt7uwhEUbpHLU6A#footer_action_list
3,2023-07-02,Yesterday at 10:03 AM,Khazzandrah Dhenizse Zabala, FOR SELL  PREPAID WIFI OPENLINE AND ANTENNA   OPENLINE 936 2023 FIRMWARE  USE ANY SIM SUN SMART TNT GLOBE GOMO TM ROCK SIM   BRAND NEW ANG  ANTENNA 2ND ANG MODEM PERO HAMIS PA   2700 PACKAGE   Consolacion Cebu Area ,https://www.facebook.com/groups/3265361586819446/permalink/6579025962119642/?__xts__%5B0%5D=12.AbrVX88myBQ7FkNFwnSXatyaqxCx2O8Cj-i9oXMMQFRrRgeTxeTKG1dtsltTF-M0AMP0h6ba7lVeKZ3MBjt8RJkOzH8TWbvWJbd-Umd2u2fhK0YiGhMqZmH5tpfkSoWT-vTiWG-QhcNIv2ACaGqvvxc-gsSzoMIYpXmW8K9pqux4U-AKJs774ww_LqA0gYCiPgHgzTuop27hoBxEi9VQBd5sSVtRKvfCsm6ttyYMdfYQANFooY9T3rIK0sOhf1KQ23Rz8krQtpUK3hsTOfDdotnGIeb2_XdVFF-NAeiz_8MVDP_e3onLn_W08t1-PhWZzwtMrsPXatIoYKgFvS4vHjJi3bYqISsGVCUkycqOBcT3nQ61WhkNz7C-K_3f-t6J5DNVOUfqqY2wbql1h10n7nZhftnBPTCExwFdGaikQPbvoC9cn4rfqU231GgqpSNja9Z_JRA8AjYNJBdBNqnMoY2S6gXhpwd6nH_VwPYryi4Aqy4eJLej90s5yHfjXOtroJymt35b7cbvYBDMZfya1lqXI_FO42m4GbrJqXbf0U4RYgeTHwKiDXfh-GQN91hpCav1TPRvRgdNrFLRvbV9omF9mlZS3effz5E6JXtLlGg-e-j7ZfGWnGnJH-622nzxjaY&__tn__=%2AW&paipv=0&eav=AfYh6k26ObW_VAMGBiQbDmkO-koLRPpPdnJDIUj0v4rWdWWKydBSBL0jIUYyHWMO8Kw#footer_action_list
4,2023-07-03,2 mins,Leo Angelo Querubin Floreza, PROMO‼️PROMO‼️ PROMO‼️ PROMO‼️ ‼️ GLOBE FIBER INTERNET  ‼️ 📣100%LEGIT AGENT📣  NEW 𝗚𝗟𝗢𝗕𝗘 𝗙𝗜𝗕𝗘𝗥 UNLIMITED PLAN HAS NOW UPGRADED💥💥💥  🌍UNLIMITED INTERNET ONLY 📌 1299-50MBPS UNLIMITED 📌 1699-200MBPS UNLIMITED 📌 2099-300MBPS UNLIMITED  🌏UNLIMITED INTERNET WITH LANDLINE 📌 2499 500-MBPS UNLIMTED  ⚠️FAST INSTALLATION ⚠️FREE MODEM & WIRE ⚠️FREE ACTIVATION  FREE LANDLINE WITH UNLIMITED CALLS TO GLOBE AND TM mobile numbers nationwide REQUIREMENTS:   📍1 VALID ID ONLY * UMID * POSTAL ID * PRC ID * DRIVER' S LICENSE * PASSPORT * SSS ID *PHILHEALTH   *VOTERS ID *NBI CLEARANCE *TIN *NATIONAL ID I’m LEO your Globe Authorized Agent. Contact No.📘 09533527961 TM PROMO‼️PROMO‼️ PROMO‼️ PROMO‼️ ‼️ GLOBE FIBER INTERNET  ‼️ 📣100%LEGIT AGENT📣  NEW 𝗚𝗟𝗢𝗕𝗘 𝗙𝗜𝗕𝗘𝗥 UNLIMITED PLAN HAS NOW UPGRADED💥💥💥  🌍UNLIMITED INTERNET ONLY 📌 1299-50MBPS UNLIMITED 📌 1699-200MBPS UNLIMITED 📌 2099-300MBPS UNLIMITED  🌏UNLIMITED INTERNET WITH LANDLINE 📌 2499 500-MBPS UNLIMTED  ⚠️FAST INSTALLATION ⚠️FREE MODEM & WIRE ⚠️FREE ACTIVATION  FREE LANDLINE WITH UNLIMITED CALLS TO GLOBE AND TM mobile numbers nationwide REQUIREMENTS:   📍1 VALID ID ONLY * UMID * POSTAL ID * PRC ID * DRIVER' S LICENSE * PASSPORT * SSS ID *PHILHEALTH   *VOTERS ID *NBI CLEARANCE *TIN *NATIONAL ID I’m LEO your Globe Authorized Agent. Contact No.📘 09533527961 TM ,https://www.facebook.com/groups/210213262758471/permalink/1761787670934348/?__xts__%5B0%5D=12.AbqaGHmbPmbJ-PCUpg0DVqLTGmGZpxHVOo6zZUP-Xuf0HdZn-LbbgNphBpURpBX5BFbyXqX0MIXWwkymKXvExqkDqiPCrdpatLc6_zqRfdKgmkjtHGUtvp4WhRt4j-2aGz_Scrjh3-GddHNWCTHhhl4iND3eQ2wHjabDF_IlddKQatINVwzKx6NqM4lshwZ77_ctTsJjNMHrXHv8TrCurEX9LTms3EMLLaziwK_lFGmb8pkzSWAGu-_74vUPKCUcliVVvExFTnrDaJTUJADNw8xglAzTCO5SF2ijgMeDqlsF1-cpTS_4BbyxhYSIrtfIKS_kGhpo3B20-hzdgpuPIUPY64tPR0HfJIqa4SmHDRi52K_II_D2MYL433aGip_5vqn3LJRZ_x9K4vZx9HATddFaEZ0Fw71jNgSkh0PS4P29EZtgSIvatgjPRidjSFLOvoFbuUGF14TrVcUlIvs4nn4ZX3Y-conQCAqk38D4U-hO5fRMFU5B25Ct8W24S8lhYgljc3WTIh_8MWfGX_d5Hxw46JomW-EYUrO2EGb5-EkP7JN0foW9tCeQck-vC2h4j5KQKwvVdscAph_xKSsUSsrp0IuGR9UyyoXE65wq_5YCJQyZgrd1dzjxv74PANQSleE&__tn__=%2AW&paipv=0&eav=AfaqpIKAO8hl2DeJ694B2f0jPPMupprcg8Wh_krBTLBx3Tt4hclkso9eKWThvFcVAJE#footer_action_list
5,2023-07-03,2 mins,Leo Angelo Querubin Floreza, PROMO‼️PROMO‼️ PROMO‼️ PROMO‼️ ‼️ GLOBE FIBER INTERNET  ‼️ 📣100%LEGIT AGENT📣  NEW 𝗚𝗟𝗢𝗕𝗘 𝗙𝗜𝗕𝗘𝗥 UNLIMITED PLAN HAS NOW UPGRADED💥💥💥  🌍UNLIMITED INTERNET ONLY 📌 1299-50MBPS UNLIMITED 📌 1699-200MBPS UNLIMITED 📌 2099-300MBPS UNLIMITED  🌏UNLIMITED INTERNET WITH LANDLINE 📌 2499 500-MBPS UNLIMTED  ⚠️FAST INSTALLATION ⚠️FREE MODEM & WIRE ⚠️FREE ACTIVATION  FREE LANDLINE WITH UNLIMITED CALLS TO GLOBE AND TM mobile numbers nationwide REQUIREMENTS:   📍1 VALID ID ONLY * UMID * POSTAL ID * PRC ID * DRIVER' S LICENSE * PASSPORT * SSS ID *PHILHEALTH   *VOTERS ID *NBI CLEARANCE *TIN *NATIONAL ID I’m LEO your Globe Authorized Agent. Contact No.📘 09533527961 TM PROMO‼️PROMO‼️ PROMO‼️ PROMO‼️ ‼️ GLOBE FIBER INTERNET  ‼️ 📣100%LEGIT AGENT📣  NEW 𝗚𝗟𝗢𝗕𝗘 𝗙𝗜𝗕𝗘𝗥 UNLIMITED PLAN HAS NOW UPGRADED💥💥💥  🌍UNLIMITED INTERNET ONLY 📌 1299-50MBPS UNLIMITED 📌 1699-200MBPS UNLIMITED 📌 2099-300MBPS UNLIMITED  🌏UNLIMITED INTERNET WITH LANDLINE 📌 2499 500-MBPS UNLIMTED  ⚠️FAST INSTALLATION ⚠️FREE MODEM & WIRE ⚠️FREE ACTIVATION  FREE LANDLINE WITH UNLIMITED CALLS TO GLOBE AND TM mobile numbers nationwide REQUIREMENTS:   📍1 VALID ID ONLY * UMID * POSTAL ID * PRC ID * DRIVER' S LICENSE * PASSPORT * SSS ID *PHILHEALTH   *VOTERS ID *NBI CLEARANCE *TIN *NATIONAL ID I’m LEO your Globe Authorized Agent. Contact No.📘 09533527961 TM ,https://www.facebook.com/groups/davaobuyandsellgroup/permalink/2202158783309308/?__xts__%5B0%5D=12.AboQqfV_MNTiZjs8GdKIhAsbA9wbKqI6MZzqkX0CHY6Ll3NxKN9Z6_scHw292MkxA-hqH19BupXZ3dd9LW9KKo3rfxGZta6Uv9hFSmF4W-ObQywuuxbc5LvS8WkceorODV9u1Na5yj__dAWyi4vqCj7Bm0Nv15nPKpKAV0B2ige39c82vBWPQz4T4UEqcOr4lP1X8Mg8ZMVaKHR-h1kF64wjKZGyOoi5oSZ1yshCjPpClVF4IwsS_fMpXNYwiWRf3NvOPKoslxRY8sj0cA6xG8duBm0Z9ZTJ4uz3rfABOap0FUltFNA6KM6Y0wEi-ulRVgG_Slhjo6zdqBOxFS5hDw_p1CbgyKbPfREWrEVWbftfCms2tgwSQ2YdtCpnXOCgKRB0zYBBi8-N3DtjHASX2K92BBbuuFRZy7nolHsBGrTRMpJ3CQtgs_9xA-r7oHZQH7EcSbnniq7FudDlc0sHhsueZiq7SiP5K2AbiNzApt6_h1CNByZ1oOg8BHGyXOFNsUPvrigDUTrX2-rhdeHiFiAx9HulAB5xcsJLzNFkvzlwmPwYfvdRA4cYukfGzDwuF6P11wEjJY_yvvHqwXK6MgMeoco0yJK3D_55X0hafLsHP0bb3Y0_RUKF3boXwAK86hA&__tn__=%2AW&paipv=0&eav=AfZb5b4lQ8s58YmRog8fT673ZsdpabYPg4X4jL36vjvjcZQl6RULq8QaiZy-ssKjSok#footer_action_list
6,2023-07-03,26 mins,Steph Borbon," 𝑭𝒊𝒃𝒆𝒓 𝑺𝒂𝒍𝒆 𝑷𝒓𝒐𝒎𝒐 is back this July! 🙌🏻😍  Free installation and modem activation for 𝐏𝐥𝐚𝐧 𝟏𝟔𝟗𝟗 𝐚𝐧𝐝 𝐮𝐩.....  📢𝐏𝐋𝐃𝐓 𝐇𝐎𝐌𝐄 𝐅𝐈𝐁𝐑 𝐈𝐍𝐓𝐄𝐑𝐍𝐄𝐓 📣 📢 𝐅𝐑𝐄𝐄 𝐋𝐀𝐍𝐃𝐋𝐈𝐍𝐄  ☎  👉𝐀𝐋𝐋 𝐅𝐈𝐁𝐑 𝐏𝐋𝐀𝐍𝐒 𝐀𝐑𝐄 𝐂𝐎𝐕𝐄𝐑𝐄𝐃 𝐈𝐍 𝟑𝟔 𝐌𝐎𝐍𝐓𝐇𝐒 𝐋𝐎𝐂𝐊 𝐈𝐍 𝐏𝐄𝐑𝐈𝐎𝐃 🔐🔐☑ 👉𝐌𝐎𝐍𝐓𝐇𝐋𝐘 𝐔𝐍𝐋𝐈𝐌𝐈𝐓𝐄𝐃 𝐅𝐈𝐁𝐑 𝐏𝐋𝐀𝐍𝐒👈 𝐈𝐍𝐂𝐋𝐔𝐒𝐈𝐎𝐍𝐒: -(𝐋𝐀𝐍𝐃𝐋𝐈𝐍𝐄)  ➡𝐏𝐥𝐚𝐧 𝟏𝟔𝟗𝟗 𝐮𝐩 𝐭𝐨 2𝟎𝟎𝐦𝐛𝐩𝐬 ➡𝐏𝐥𝐚𝐧 𝟐𝟎𝟗𝟗 𝐮𝐩 𝐭𝐨 4𝟎𝟎𝐦𝐛𝐩𝐬 ➡𝐏𝐥𝐚𝐧 𝟐𝟔𝟗𝟗 𝐮𝐩 𝐭𝐨 6𝟎𝟎𝐦𝐛𝐩s      𝐏𝐥𝐚𝐧 𝟗4𝟗𝟗 𝐮𝐩 𝐭𝐨 1𝟎𝟎𝟎𝐦𝐛𝐩s  ➡ 𝐀𝐏𝐏𝐋𝐘 𝐍𝐎𝐖!!!!!  HAVE IT ALL AT HOME WITH THE NEW  𝐅𝐈𝐁𝐄𝐑 𝐔𝐍𝐋𝐈 𝐀𝐋𝐋 𝟏𝟑𝟗𝟗   ✅Unli Fiber up to 50Mbps ✅Unli Entertainment - CIGNAL ✅Free Landline with Unli calls to other PLDT Landline ✅Cignal 290 (85 Channels | 67 Standard, 18 HD) ✅Free Setup-box (STB) and waived Cignal activation fee  SEND ME A MESSAGE NOW!!!  09928723839( DITO) 09673159452 ( GLOBE) 09634084447 ( TNT)  I'm Stephanie your friendly Authorized Sales Agent from HF3B Enterprises Inc-Authorized Distributor of PLDT... ",https://www.facebook.com/story.php?story_fbid=pfbid02ovUYgfqaq4nBcEJwQEwJpMWxTayAfxridRoPLHRS2Y57LQ6pxjtcDH9fFkAtdqCkl&id=100001028875692&eav=Afbj7u60Ao12rZvMCkCHb55b5Ni90DsmNCBReVx8S-ESM4-z_zXBNyIqSw9l4AUQADI&__xts__%5B0%5D=12.AbqYmriL4Ep5OfnpqJBX0cYouS-Dc9RUeNP0FZVFLsB-7kkrFQLNutD9rB4OgNXUzsB3HwqsfzfNznw0B9esUL1_T4YLpTdIv5qQPugJq29wfqvvxD5bW5eqofgW5VUPtqlPSa9e8PQ_xPk1RpF05W2qZnfQ3IEyORgSguX5W5mzkIfDE8FCJqf3UTGqDHCZZCgFYV_u4MkecoRElVKrZzy6qbDRGgS8A8ehYfOt2GmCstenCXKyt8BJ1_5gTmPqn86mYpfIGgqN5_dsYiKnCM2W251IeNYT1fmLjbr-zBpg1BinO7zEEw68wlG_xCpGH80GgdvKyLQzt9--j0eKqcaF-9lprM-ZZ2OfTKevkLNf-at7umq5msluVhipe0yr9X2ETytxPnnGVQJHwPtO4vLB17e6gGq9poSxV6v3MD6JdFmNeHVGZAudeNAbHrHuWyTYRv3i5YaQTK273RoBsupN1DJv5vYxmrDmkjR1fQpxr5Rs_fr0sYGtbdkdNIciicjvDGJsWnAI9BNt7kuYwNbGR-ZPyWX3asCYyzwtP-Jjrg1WhLHIw9q93QJoHh0hxlPoZWYMVctTs5PAjdStLhCvTNRNeZcpcWayr7KAs-sOtPoKt5QlaomAgfE7KVMOLsQ&__tn__=%2AW&paipv=0#footer_action_list
7,2023-07-01 00:00:00,July 1 at 6:33 PM,Christy Sayson, For Sale ‼️(isa nalang nabilin) Disconnected Globe Modem Dili ni ma insertan sim Dili ma loadan  Message me📢 ,https://www.facebook.com/story.php?story_fbid=pfbid0XeaD8zvYXMUUbouCnvR75uRtVrcL3afDynXZjRBmfSWCPXNcGnfWFonGkJftktj5l&id=100007573636089&eav=AfbEM6TXhNIQM_IijFqPU_0wKQYzFC6sCI3JAkPD_KIFeVlFW5jmWedBObE434W3m74&__xts__%5B0%5D=12.AbowMK0lz0OiLY5c_QBj1gC1wrCBLyJz6oyS2Q279gl4kfsyQxEiNnAfiuk4fqV7TukkvhM7YJPwmOyhuoWQzSfkpX5wp9nLuIlaqsj5dwEOhI-SsHi7sWwxB-uW3Zr9REX33BovKUfXTtpahk-nts02-i1_97X3uVjiqOx0ii4AWaw0kaI6EQuEjGGtWAIRJS5Rjg7T-QKw9o-4KWP-CKhigV7hTHyoSTuUb_5snjU-1UN6J9NELMDo2hquLqrCFaToX1UMS7ll5VdhDPaE9rX3SxRmNOgIu0GIcylw3g9Bp1tdRCSuj2B8RCc18auHTd1UHXoj_5Skz3fM4OO1gCyVa8gmBNQhNunOdet7BqO6iF4Q4h1v6ztBSACB1xI791ARU17-WEBlX7ShI2LqICSPNeYSeMExcvQV7S4t_siEILItGzidWL0SPm2BT_U57PjvlTXDTWqFo_hNTJV7DWkfnDWwMLyJJaoYmYXxVsPGqUjNKvfRWg5qvfVm5Nk9q3SaU3hb1WEeooAMYPmHGyjiD78Mv25mVX9gmIRCC8wLv-Wdfry1s49anGPkFsRuhx0XBc3781A018MwT_WTGiAA7nZuUeJpMXijjYYXx3W545KyR96fuBO6XFMjkCEyZKM&__tn__=%2AW&paipv=0#footer_action_list
8,2023-07-02,Yesterday at 4:27 PM,Jamesson Pagodon, PTPA !  🔥FOR SALE PREPAID WIFI OPENLINE AND ANTENNA 🔥  💯MODEM OPENLINE  2023 FIRMWARE 💯MODEL: B315S 936  USE ANY SIM SUN SMART TNT GLOBE GOMO TM ROCK SIM   🔥BRAND NEW ANG  ANTENNA🔥 🔥2ND ANG MODEM PERO HAMIS PA 🔥  2800 PACKAGE  FREE SHIPPING  Consolacion Cebu Area PTPA !  🔥FOR SALE PREPAID WIFI OPENLINE AND ANTENNA 🔥  💯MODEM OPENLINE  2023 FIRMWARE 💯MODEL: B315S 936  USE ANY SIM SUN SMART TNT GLOBE GOMO TM ROCK SIM   🔥BRAND NEW ANG  ANTENNA🔥 🔥2ND ANG MODEM PERO HAMIS PA 🔥  2800 PACKAGE  FREE SHIPPING  Consolacion Cebu Area ,https://www.facebook.com/groups/331943117897593/permalink/917873972637835/?__xts__%5B0%5D=12.Abri0brNPIGal1vbYC8yelOTYa6eAj_WSBjJtTDICxGxBSZ8GHSWmhwRvYrWsWXag_7GYu-qofIlOm214RNN-Z_Ie53bXQg9U99jQ-DgEuzhtheXwc4Dq1yLzU0eMQJJ4LxOzjNFz-zyk1EmvZhF48cN6rJVzzXo4aTY5CWGQ1y_ebIFzYz-l6OnHef7ugN77vTbPfBiiV6SGYv5AyM_9PJRGFhr_KKg01LlScSyqGLnp80knZPNpckp0DHAW-QF07vYy8BKyOoLCCjAVUEtRHYd6lDaX4-YMrkECTrGmrMgMye0vDPyG931wPQbWKk_y0hydXCd05zdhatB0GpMU7VKHcOd39pE8QvTsFMyWiDu4qSREKQcnsP40nzcxXcl9ImFe2tt-0ZZ1r2mKm3IGPX27Bub4dlu3WgsYwZ6dWDjr_WF2WTXDScrPttCBGRvsgZMbfFD80zITBoo27wlknt2qmtrHdoswgPZoA_tQrf4tZneCP-hbQiBEzkcnmaXW7T1xqMF7nFuK7JPOllmFf9hcnjpZhaJHSH5E0y76Gg7Kw-0d2bPlpLQpIdeVTFNBk5mzAq9YeGNywR41gaM4s6ZQpkRskTHijytb0rIavGonWbg6aCaocdFVn4MnQ3UlYs&__tn__=%2AW&paipv=0&eav=Afb1NllFTCATw3eaHXuYAtgcO65N1RgS4wOpQ1nFixi6KqLoGpO1mR42cwlLoE1oxyg#footer_action_list
9,2023-07-03,23 hrs,Josephine Areola Rayo, For Sale. Modem Tattoo @Home modem. Pm sa Gusto. Naka Open Line Naren ,https://www.facebook.com/groups/986850091669194/permalink/1963999133954280/?__xts__%5B0%5D=12.AbopiL5ZJdFBzO0TQcd6AEyeRSjIV_CCs_FthrZo_p1VjJYVpVU3BrtoFe1QIg9BHVepTGgQ4rlQrgPrsHfqbhr5YfJ7Hu_XbeMB4HgFHYLxRQonmVprO-zcrVN0GaqP8IUx1qMgqfZSL3pXgoUjWIvhjpZ2YD4wwpiaSo2J3rfoUTxRhEByCxg3UOMgmgJZJnE7-k5ROP1u4B8BRgzzjHZl1zxOMhXMaPyif4yfjDoD6Fcqmsti2YnIMY1MOVNCaVrMdrYKbx9zWDU-nA2T2v03yb64KvE6tGl7uXkckzqy8mAVXylnLaWsvCNV4gBwgghfqnpR7XOfxhXr5dHuvaeB3o4VAQlER3Av4kHQyTHpHVkneUY1oEAU_NbBRUHLZkgr8JcQq2GilvctJBsip6TxVb7HcFjQqV0NTcvwYRgDTpDtS2rJ795ItNmw-Gto1JeCBbJSxhcGlJojw1nLJCmY9XJf8x9RlibYeOC2kDZKdwE5ia9cohHdnWE4yv5zg2qvAQUWL_Oh33jhPOikQZ3dKIs37s1N1G7d1YdW1qTIj7tUpRHoqXvZGHpmZrjCeYmW7Xlwg6LC2oJJM2T_pURd7K1kjT7c8VNF6q3mUODTqnV_H5FnH6jxbFXVK6263sgLS5q4fPlWZWo_GODB1x4-iNbuRqfyEFjlQlxOioZFBOUNxt5CHaa0FBTG1_n1RB4&__tn__=%2AW&paipv=0&eav=AfZuwB6wUavgpsXLDRQoYjO8IIrYKbblVHOk-tVhlpbOpNZ0sasggi56ZDcB3oj5Kl4#footer_action_list
